INCIDENCIA,PROVEEDOR,TIPO DE PRENDA,COSTE PRENDA,IMAGENES PRENDA,FECHA,Persona,TIPO DE TARA
#113543,,HOODIE,"26,65",INCIDENCIAS%20TARAS%20PROVEEDORES/IMG_9534.jpeg,14 de enero de 2026,lauravirostaprada@hotmail.es,agujero
#112183,,CITY HALF-ZIP,,INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2026-01-12_131818.png,12 de enero de 2026,lauravirostaprada@hotmail.es,agujero
#101080,EDU BORDEA,FORRO POLAR,"7,42",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-12-22_120813.png,22 de diciembre de 2025,lauravirostaprada@hotmail.es,descosido
96282,CHINOS,JERSEY,"13,30",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-12-10_111859.png,10 de diciembre de 2025,lauravirostaprada@hotmail.es,enganche
101535,EDU BORDEA,FORRO POLAR,"7,42",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-12-09_141458.png,9 de diciembre de 2025,lauravirostaprada@hotmail.es,bordado
99261,INDIOS,HOODIE,"26,65",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-12-09_140406.png,9 de diciembre de 2025,lauravirostaprada@hotmail.es,agujero
102967,,CREWNECK,22.02,"INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-09-09_124131.png, INCIDENCIAS%20TARAS%20PROVEEDORES/20251204_223136.jpg",5 de diciembre de 2025,lauravirostaprada@hotmail.es,mancha
91629,,HOODIE,"26,98",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-11-27_122022.png,27 de noviembre de 2025,lauravirostaprada@hotmail.es,costura mal hecha
#93270,EDU BORDEA,FORRO POLAR,"7,42",INCIDENCIAS%20TARAS%20PROVEEDORES/Captura_de_pantalla_2025-11-24_113856.png,24 de noviembre de 2025,lauravirostaprada@hotmail.es,marca cremalleras
#93895,,DUST WINE SPARK CREWNECK - Esenzia DUST WINE SPARK CREWNECK,,INCIDENCIAS%20TARAS%20PROVEEDORES/IMG_4848.jpeg,20 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero manga
,ROSENDO,CITY HALF-ZIP,,INCIDENCIAS%20TARAS%20PROVEEDORES/agujero_hombro_izq_burdeos.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero hombro izq
,ROSENDO,CITY HALF-ZIP,,INCIDENCIAS%20TARAS%20PROVEEDORES/tara_agujero_pecho.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero pecho
,ROSENDO,,,INCIDENCIAS%20TARAS%20PROVEEDORES/corte_hombro_derecho.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,corte hombro drcho
,ROSENDO,CITY HALF-ZIP,,INCIDENCIAS%20TARAS%20PROVEEDORES/tara_agujero_hombro_izq.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero hombro drcho
,ROSENDO,CITY HALF-ZIP,62,INCIDENCIAS%20TARAS%20PROVEEDORES/tara_agujero_hombro_izq%201.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero hombro izq
,ROSENDO,CITY HALF-ZIP,,INCIDENCIAS%20TARAS%20PROVEEDORES/tara_agujero_hombro_drcho.jpg,16 de noviembre de 2025,lauravirostaprada@hotmail.es,agujero hombro drcho
