ID_Mensaje,Remitente,Asunto,Resumen,ID_Pedido,Texto_Incidencia,Texto_Procesado,Categoria_Origen,Sentimiento,Emocion,Prioridad,Estado
1777488852084004500,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re problem sudader ped buen duni graci respuest tramit incident inici proces devolu gust aclar dud trat product defectu manch fall fabric quer sab com funcion t,TARA PROVEEDOR,NEU,others,MEDIA,Abierto
1777488844679015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re falt inform perfect much graci dec insatisfech regal seman igual graci mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777488401058004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re acus recib re incident ped graci verd result complic compr tiend primer comun ensegu cambi metod envi equivoc ahor genial lueg error product stock qu,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777487665657014000,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_f6143e65,[OCULTO POR PRIVACIDAD],re ped mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777487644910015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_199fb08c,[OCULTO POR PRIVACIDAD],inform ped buen tard escrib deb no recib ningun inform respect ped hic doming 129513. quer sab dond encuentr ped no cumpl dias entreg inform respect esper,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777485042762015100,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re acus recib resudader lemon oval hoodi impos hac cambi no apen sudader xl asi impos mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,TARA PROVEEDOR,NEG,others,ALTA (Urgente),Abierto
1777484777586004200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re ped camiset buen tard tard recib pedido.much graci atencion rapidez,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
1777484438636003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_8711bb30,[OCULTO POR PRIVACIDAD],unmapp order shipping method orders unmapp order shipping method hell duni the order esens1129831 cant be transmitt becaus the shipping method tiend esenzi sevill is not mapp in the autofulfillment configuration esens1129831 cheers the bigblu,INCIDENCIA GENERAL,NEG,others,ALTA (Urgente),Abierto
1777484334921003600,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],ID_20b68fe2,[OCULTO POR PRIVACIDAD],re ped perfect mil graci adjunt captur envi pagado.un salud fran,INCIDENCIA GENERAL,POS,joy,BAJA,Abierto
1777484320040014200,[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],[OCULTO POR PRIVACIDAD],,[OCULTO POR PRIVACIDAD],re asunt favor mie abr duni sanchis rodriguez atencionalclienteesenziaclub.com escrib,INCIDENCIA GENERAL,NEU,others,MEDIA,Abierto
