ID_Pedido,Texto_Incidencia,Categoria_Origen
ID_86633a4b,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_5fc946c3,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_709f8519,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_4aa2953f,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_1bcdf30a,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_0bcbe374,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_3801ae6c,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_561a9433,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO
ID_1314ab4f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_1608a00e,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_e6f30b71,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_ada00bb5,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_13dbcaa6,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_b8751a88,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_27c7bb31,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_b33643f1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_5707a40a,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_c32e8746,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_f5e94726,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_70af3f6f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_51895628,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_c4736ccd,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_e3df2d51,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_3fb1dbb4,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_0367cd24,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_fa743954,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_2bbd6975,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_ca23d5d0,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_7ce14b9c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_d31264a1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_331c9bda,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_c15a4426,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_f4dd0343,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_74a71eac,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_cae66086,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_53999931,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_0cff777b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_34d7111e,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_d3fcd124,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_374bd302,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_b503ddd1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_8e69f373,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_100a68ea,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_120b5667,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_d0463e3f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_97ece9f0,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_8f8c044a,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_4038655b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_3607133f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_5ead9ce5,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_1c85ead7,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_0510e715,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_b3fce27c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_ea4e5d2c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_9feb1cc3,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_e9cf75ca,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_164642a2,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_6f2e50a1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_73ccd660,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_06afe781,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_47160aa6,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_68714384,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_7425428b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_3395c665,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_3067724b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_374927e9,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_b9761ade,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_33f94b9b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_2cf0569f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_a8df1924,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO
ID_f4ceb0c6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ab4722ad,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9f0de25c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_896975f6,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4e040690,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_0b380305,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3581ba3d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_44ef79aa,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c526fd39,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ddb3f86e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3581ba3d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_bba62757,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_491fbf33,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a0cae593,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_dab45e0f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_db495a88,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_2ddf4b98,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d7f495ac,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_a59e1546,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_77f5591e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_930aabb4,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9812d330,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_778af555,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_20b15248,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_bd2a48bb,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_0380079b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ff75e391,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_97c3df5b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f40882de,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_038df691,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f29d56d8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f0751a93,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_831283ab,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_141a66f7,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3aec222b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9ce08b3c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c6c7d64a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_1ec38fa1,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_b91fcd0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_bb66be08,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_04312366,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_180f8e6c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_89a4929e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_cac2bff3,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3af4de30,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_79e394af,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d45c067e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_99b2709b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_c329ab97,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_1331092f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_10d14c29,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_23f37b72,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7c03b506,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_af7c1f38,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_989824bb,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7b22297c,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_610470ae,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_e0a77c61,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_21085a43,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_9359d709,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_33688e09,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f33d0f89,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ff972768,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_cff1a6ee,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4e432d2a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4a357f22,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_242c0f6b,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_29e50e32,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_8301ab65,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_2a71aa6d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_d2d96331,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_059b6a1f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_f62b6c0d,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_3eadf01f,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_ceb8b3f2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_7774ab9a,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_865e39d0,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_4d42bb7e,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_15abc3e8,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
ID_1b2585c2,[OCULTO POR PRIVACIDAD],INCIDENCIA GENERAL
